org,code,description,plant,event_year,entity_key,erp_system,family
CPCL,4957084984,"Plug Vlv Jkt A216 Wcb Fl 150 8x6 In; jacketed plug valve; flanged B16.5 RF; bolted bonnet; gear operated; BS 5353; VMS 552323",Manali Refinery,2026,public_tender_C22M260007_item_4957084984,public_GeM_tender,valve
CPCL,4957080014,"Plug Vlv Jkt A216 Wcb Fl 150 10x8 In; jacketed plug valve; flanged B16.5 RF; bolted bonnet; gear operated; BS 5353; VMS 552323",Manali Refinery,2026,public_tender_C22M260007_item_4957080014,public_GeM_tender,valve
CPCL,4957084914,"Plug Vlv Jkt A216 Wcb Fl 150 2x3 In; jacketed plug valve; flanged B16.5 RF; bolted bonnet; gear operated; BS 5353; VMS 552323",Manali Refinery,2026,public_tender_C22M260007_item_4957084914,public_GeM_tender,valve
CPCL,4957084974,"Plug Vlv Jkt A216 Wcb Fl 150 4x6 In; jacketed plug valve; flanged B16.5 RF; bolted bonnet; gear operated; BS 5353; VMS 552323",Manali Refinery,2026,public_tender_C22M260007_item_4957084974,public_GeM_tender,valve
SJVN,PPR-O&M-RHPS-790-ITEM-03,"Bearing Housing Out Board; CI IS-210 FG 260; drawing item 03; cooling water pump spare",Rampur HPS,2025,public_tender_PPR_O&M_RHPS_790_item_03,public_GeM_tender,pump_spare
SJVN,PPR-O&M-RHPS-790-ITEM-15,"Impeller; SS CF 8M; ASTM A743; drawing item 15; cooling water pump spare",Rampur HPS,2025,public_tender_PPR_O&M_RHPS_790_item_15,public_GeM_tender,pump_spare
SJVN,PPR-O&M-RHPS-790-ITEM-22,"Seal Cover housing; Cast Steel ASTM A216 Grade WCB; drawing item 22; cooling water pump spare",Rampur HPS,2025,public_tender_PPR_O&M_RHPS_790_item_22,public_GeM_tender,pump_spare
SJVN,PPR-O&M-RHPS-790-ITEM-26,"Bearing Housing In Board; CI IS-210 FG 260; drawing item 26; cooling water pump spare",Rampur HPS,2025,public_tender_PPR_O&M_RHPS_790_item_26,public_GeM_tender,pump_spare
SJVN,PPR-O&M-RHPS-790-ITEM-28,"Shaft; SS 410; drawing item 28; cooling water pump spare",Rampur HPS,2025,public_tender_PPR_O&M_RHPS_790_item_28,public_GeM_tender,pump_spare
SJVN,PPR-O&M-RHPS-790-ITEM-30,"Cover for bearing housing; CI IS-210 FG 260; drawing item 30; cooling water pump spare",Rampur HPS,2025,public_tender_PPR_O&M_RHPS_790_item_30,public_GeM_tender,pump_spare
